Id,Fecha,Año,Mes,Día,Día_Semana,Hora completa,Hora,Numero_víctimas,Participantes,Rol,Acusado,Victima,Sexo,Edad,Rango_etario,Fecha_fallecimiento,Lugar_del_hecho,Tipo_de_calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Coordenada_x,Coordenada_y,Pos x,Pos y,Semestre
2016-0116,2016-09-02,2016,9,2,Viernes,20:20:00,20,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,30, Entre 21- 40,2016-09-02 00:00:00,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,101721.59002217,93844.25656649,-58.44451316,-34.68475866,2016-2
2016-0117,2016-09-03,2016,9,3,Sabado,15:30:00,15,1,AUTO-AUTO,CONDUCTOR,AUTO,AUTO,MASCULINO,43,Entre 41-60,SD,AV DEL LIBERTADOR Y TAGLE,AVENIDA,DEL LIBERTADOR AV.,TAGLE,DEL LIBERTADOR AV. y TAGLE,14,PALERMO,105865.95849347,105162.71037105,-58.39936478,-34.58271474,2016-2
2016-0118,2016-09-04,2016,9,4,Domingo,03:30:00,3,1,AUTO-AUTO,CONDUCTOR,AUTO,AUTO,MASCULINO,27, Entre 21- 40,2016-09-04 00:00:00,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI KM 2.9,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,107696.68171812,100254.7626871,-58.37936704,-34.62694503,2016-2
2016-0119,2016-09-04,2016,9,4,Domingo,06:40:00,6,1,SD-SD,PASAJERO_ACOMPAÑANTE,SD,SD,FEMENINO,,,SD,CRISOLOGO LARRALDE Y AVDA TRIUNVIRATO,AVENIDA,"LARRALDE, CRISOLOGO AV.",TRIUNVIRATO AV.,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,96944.69676081,107291.52292157,-58.49659234,-34.56353635,2016-2
2016-0122,2016-09-13,2016,9,13,Martes,07:10:00,7,1,BICICLETA-PASAJEROS,CICLISTA,PASAJEROS,BICICLETA,MASCULINO,49,Entre 41-60,2016-09-13 00:00:00,AV EVA PERON 4233,AVENIDA,"PERON, EVA AV.",,"PERON, EVA AV. 4233",9,LINIERS - MATADEROS - PARQUE AVELLANEDA,99150.75069529,97484.4665028,-58.47256391,-34.65194557,2016-2
2016-0123,2016-09-14,2016,9,14,Miercoles,09:00:00,9,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,FEMENINO,58,Entre 41-60,SD,AV ASAMBLEA Y AV CNEL ESTEBAN BONORINO,AVENIDA,ASAMBLEA AV.,"BONORINO, ESTEBAN, CNEL. AV.","ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",7,FLORES - PARQUE CHACABUCO,101099.34592952,98750.07827754,-58.45130953,-34.64053676,2016-2
2016-0124,2016-09-16,2016,9,16,Viernes,15:24:00,15,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,67,Entre 61-80,SD,AVDA RIVADAVIA Y RIVERA INDARTE,AVENIDA,RIVADAVIA AV.,RIVERA INDARTE AV.,RIVADAVIA AV. y RIVERA INDARTE AV.,7,FLORES - PARQUE CHACABUCO,100053.89791316,100046.73776995,-58.46271207,-34.62884871,2016-2
2016-0125,2016-09-17,2016,9,17,Sabado,12:14:00,12,1,MOTO-MOTO,CONDUCTOR,MOTO,MOTO,MASCULINO,30, Entre 21- 40,SD,AUTOPISTA PERITO MORENO Y AV JUAN B ALBERDI,AUTOPISTA,AUTOPISTA PERITO MORENO,"ALBERDI, JUAN BAUTISTA AV.","AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,97532.91184699,98538.89061454,-58.49020869,-34.64243791,2016-2
2016-0126,2016-09-18,2016,9,18,Domingo,22:45:00,22,2,AUTO-CARGAS,CONDUCTOR,CARGAS,AUTO,MASCULINO,37, Entre 21- 40,SD,IRIGOYEN Y TINOGASTA,CALLE,IRIGOYEN,TINOGASTA,IRIGOYEN y TINOGASTA,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,94275.54271123,100886.87954649,-58.52572109,-34.62125906,2016-2
2016-0126,2016-09-18,2016,9,18,Domingo,22:45:00,22,2,AUTO-CARGAS,PASAJERO_ACOMPAÑANTE,CARGAS,AUTO,MASCULINO,60,Entre 61-80,SD,IRIGOYEN Y TINOGASTA,CALLE,IRIGOYEN,TINOGASTA,IRIGOYEN y TINOGASTA,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,94275.54271123,100886.87954649,-58.52572109,-34.62125906,2016-2
2016-0127,2016-09-24,2016,9,24,Sabado,10:25:00,10,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,50,Entre 41-60,SD,AV MARIANO ACOSTA Y AV CNEL ROCA,AVENIDA,"ACOSTA, MARIANO","ROCA, CNEL. AV.","ACOSTA, MARIANO y ROCA, CNEL. AV.",8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,102048.72946345,95839.6347899,-58.44094791,-34.66677111,2016-2
2016-0128,2016-10-02,2016,10,2,Domingo,11:30:00,11,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,81,Más de 80,2016-10-02 00:00:00,CASTRO Y AV PAVON,AVENIDA,CASTRO,PAVON AV.,CASTRO y PAVON AV.,5,ALMAGRO - BOEDO,104049.28528337,99858.37522846,-58.41914024,-34.63053890,2016-2
2016-0130,2016-10-04,2016,10,4,Martes,12:30:00,12,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,29, Entre 21- 40,2016-10-04 00:00:00,AUTOPISTA 9 DE JULIO SUR Y AV BRASIL,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,107720.24059557,100176.85101454,-58.37910942,-34.62764717,2016-2
2016-0131,2016-10-09,2016,10,9,Domingo,19:13:00,19,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,35, Entre 21- 40,SD,MIRAVE 3500,CALLE,MIRAVE,,MIRAVE 3500,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,105921.45515383,98209.53178328,-58.39871183,-34.64539318,2016-2
2016-0132,2016-10-10,2016,10,10,Lunes,02:30:00,2,1,AUTO-PASAJEROS,PASAJERO_ACOMPAÑANTE,PASAJEROS,AUTO,MASCULINO,30, Entre 21- 40,2016-10-10 00:00:00,AV SAN JUAN Y 24 DE NOVIEMBRE,AVENIDA,SAN JUAN AV.,24 DE NOVIEMBRE,SAN JUAN AV. y 24 DE NOVIEMBRE,3,BALVANERA - SAN CRISTOBAL,104853.84131654,100497.93573387,-58.41036975,-34.62477021,2016-2
2016-0133,2016-10-14,2016,10,14,Viernes,00:05:00,0,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,41,Entre 41-60,2016-10-25 00:00:00,AV LAS HERAS Y SANCHEZ DE BUSTAMANTE,AVENIDA,LAS HERAS GENERAL AV.,SANCHEZ DE BUSTAMANTE,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,14,PALERMO,105619.82089682,105083.85914124,-58.40204698,-34.58342690,2016-2
2016-0134,2016-10-23,2016,10,23,Domingo,05:00:00,5,1,MOTO-OBJETO FIJO,CONDUCTOR,OBJETO FIJO,MOTO,MASCULINO,25, Entre 21- 40,2016-10-23 00:00:00,AV PIEDRA BUENA Y 2 DE ABRIL 1982,AVENIDA,PIEDRA BUENA AV.,2 DE ABRIL DE 1982,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,97612.37609226,94761.8126826,-58.48935287,-34.67648597,2016-2
2016-0135,2016-10-24,2016,10,24,Lunes,05:00:00,5,1,PEATON-SD,PEATON,SD,PEATON,MASCULINO,29, Entre 21- 40,2016-10-25 00:00:00,AV FIGUEROA ALCORTA  Y PINEDO,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","PINEDO, INT.","FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",14,PALERMO,103734.76257993,107235.78328415,-58.42260225,-34.56403694,2016-2
2016-0136,,,0,0,,,,0,,CONDUCTOR,,,SD,,,SD,,,,,,0,,,,,,<NA>-1
2016-0137,2016-10-25,2016,10,25,Martes,00:39:00,0,1,MOTO-MOTO,CONDUCTOR,MOTO,MOTO,MASCULINO,30, Entre 21- 40,SD,AV SAN MARTIN Y LADINES,AVENIDA,SAN MARTIN AV.,LADINES,SAN MARTIN AV. y LADINES,11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,95222.93546397,104315.24453153,-58.51537091,-34.59035925,2016-2
2016-0138,2016-10-27,2016,10,27,Jueves,20:30:00,20,1,BICICLETA-CARGAS,CICLISTA,CARGAS,BICICLETA,FEMENINO,33, Entre 21- 40,SD,AV CABILDO Y BLANCO ENCALADA,AVENIDA,CABILDO AV.,BLANCO ENCALADA,CABILDO AV. y BLANCO ENCALADA,13,BELGRANO - COLEGIALES - NUÃ‘EZ,100385.69739031,107770.0402807,-58.45909670,-34.55922742,2016-2
2016-0139,2016-10-28,2016,10,28,Viernes,23:00:00,23,1,MOTO-MOTO,PASAJERO_ACOMPAÑANTE,MOTO,MOTO,FEMENINO,35, Entre 21- 40,SD,AV PRESIDENTE FIGUEROA ALCORTA Y AV DORREGO,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",DORREGO AV.,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",14,PALERMO,103965.45958231,107084.94812768,-58.42008769,-34.56539579,2016-2
2016-0140,2016-10-31,2016,10,31,Lunes,02:58:00,2,1,PASAJEROS-PASAJEROS,PASAJERO_ACOMPAÑANTE,PASAJEROS,PASAJEROS,MASCULINO,20, Entre 21- 40,SD,AV JURAMENTO Y VUELTA DE OBLIGADO,AVENIDA,JURAMENTO AV.,VUELTA DE OBLIGADO,JURAMENTO AV. y VUELTA DE OBLIGADO,13,BELGRANO - COLEGIALES - NUÃ‘EZ,100700.71684791,107520.92282315,-58.45566399,-34.56147293,2016-2
2016-0142,2016-11-05,2016,11,5,Sabado,23:30:00,23,1,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,46,Entre 41-60,2016-11-05 00:00:00,AV DEL LIBERTADOR Y AV RAMOS MEJIA,AVENIDA,DEL LIBERTADOR AV.,"RAMOS MEJIA, JOSE MARIA, DR. AV.","DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,108069.68986814,104046.20018024,-58.37533517,-34.59276462,2016-2
2016-0143,2016-11-06,2016,11,6,Domingo,04:41:00,4,1,MOTO-SD,CONDUCTOR,SD,MOTO,MASCULINO,35, Entre 21- 40,SD,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,101721.59002217,93844.25656649,-58.44451316,-34.68475866,2016-2
2016-0144,2016-11-07,2016,11,7,Lunes,12:10:00,12,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,83,Más de 80,SD,AV. ALTE. BROWN 984,AVENIDA,"BROWN, ALTE. AV.",,"BROWN, ALTE. AV. 984",4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,109494.82838112,99532.69117874,-58.35975012,-34.63343907,2016-2
2016-0145,2016-11-07,2016,11,7,Lunes,20:56:00,20,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,39, Entre 21- 40,2016-11-07 00:00:00,AV DEL LIBERTADOR Y LA PAMPA,AVENIDA,DEL LIBERTADOR AV.,LA PAMPA,DEL LIBERTADOR AV. y LA PAMPA,13,BELGRANO - COLEGIALES - NUÃ‘EZ,101657.76119068,107735.39237736,-58.44523595,-34.55953855,2016-2
2016-0146,2016-11-09,2016,11,9,Miercoles,20:00:00,20,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,29, Entre 21- 40,SD,PICHINCHA Y AV BRASIL,AVENIDA,PICHINCHA AV.,BRASIL,PICHINCHA AV. y BRASIL,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,106147.25140863,99876.44981079,-58.39626094,-34.63036565,2016-2
2016-0147,2016-11-16,2016,11,16,Miercoles,21:15:00,21,1,MOVIL-PASAJEROS,PASAJERO_ACOMPAÑANTE,PASAJEROS,MOVIL,MASCULINO,55,Entre 41-60,2016-11-16 00:00:00,AV INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,INDEPENDENCIA AV.,"CEVALLOS, VIRREY","INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,106817.01972475,101248.18030272,-58.38896772,-34.61799615,2016-2
2016-0148,2016-11-16,2016,11,16,Miercoles,22:20:00,22,1,MOTO-MOTO,CONDUCTOR,MOTO,MOTO,MASCULINO,,,SD,AV GARMENDIA 4895,AVENIDA,GARMENDIA AV.,,GARMENDIA AV. 4895,15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,99810.88349598,103818.87868694,-58.46536113,-34.59484504,2016-2
